_id	property	url
dde_d4667a4d9178fd8e	sameAs	https://data.niaid.nih.gov/resources?id=ncbi_sra_srp265410
dde_35acfc05c6535fce	sameAs	https://data.niaid.nih.gov/resources?id=ncbi_sra_srp266925
dde_878bfe0874851cc7	sameAs	https://data.niaid.nih.gov/resources?id=ncbi_sra_srp330491
ncbi_sra_srp252988	sameAs	https://data.niaid.nih.gov/resources?id=dde_ca2b2c6b1ffa2d38
ncbi_sra_srp265410	sameAs	https://data.niaid.nih.gov/resources?id=dde_d4667a4d9178fd8e
ncbi_sra_srp266925	sameAs	https://data.niaid.nih.gov/resources?id=dde_35acfc05c6535fce
ncbi_sra_srp330491	sameAs	https://data.niaid.nih.gov/resources?id=dde_878bfe0874851cc7
dde_d691852765e4d5dc	isRelatedTo	https://data.niaid.nih.gov/resources?id=mendeley_dpkbh2g9hy
mendeley_dpkbh2g9hy	isRelatedTo	https://data.niaid.nih.gov/resources?id=dde_d691852765e4d5dc
dde_f1fb55f54f68c283	sameAs	https://data.niaid.nih.gov/resources?id=immport_sdy1015
immport_sdy1015	sameAs	https://data.niaid.nih.gov/resources?id=dde_f1fb55f54f68c283
dde_b9e189ad36a3cd4d	isRelatedTo	https://data.niaid.nih.gov/resources?id=ncbi_sra_srp082544
dde_dc85a923d1fd7d59	isRelatedTo	https://data.niaid.nih.gov/resources?id=ncbi_sra_srp082544
ncbi_sra_srp082544	isRelatedTo	https://data.niaid.nih.gov/resources?id=dde_b9e189ad36a3cd4d
ncbi_sra_srp082544	isRelatedTo	https://data.niaid.nih.gov/resources?id=dde_dc85a923d1fd7d59
dde_36c3334b2f1ffe6b	sameAs	https://data.niaid.nih.gov/resources?id=msv000079164
dde_5eb8c23b4a08d080	sameAs	https://data.niaid.nih.gov/resources?id=msv000079327
dde_6d848ffbbf4f80f3	sameAs	https://data.niaid.nih.gov/resources?id=msv000080027
dde_0af67d606087b453	sameAs	https://data.niaid.nih.gov/resources?id=msv000080028
dde_fbd74e6037ceef22	sameAs	https://data.niaid.nih.gov/resources?id=msv000080896
dde_49885a65bb86fddd	sameAs	https://data.niaid.nih.gov/resources?id=msv000080902
dde_ddcbfdc4165e86c7	sameAs	https://data.niaid.nih.gov/resources?id=msv000081044
dde_0cc41549fff2bbc1	sameAs	https://data.niaid.nih.gov/resources?id=msv000081047
dde_0dbac63bb332af4b	sameAs	https://data.niaid.nih.gov/resources?id=msv000081558
dde_449fccffc12d8cd5	sameAs	https://data.niaid.nih.gov/resources?id=msv000081786
dde_19dd2155416830e8	sameAs	https://data.niaid.nih.gov/resources?id=msv000081842
dde_c96174803ccf2974	sameAs	https://data.niaid.nih.gov/resources?id=msv000081843
dde_15f78f44f6c7fe7c	sameAs	https://data.niaid.nih.gov/resources?id=msv000081844
dde_bbc88c502686751a	sameAs	https://data.niaid.nih.gov/resources?id=msv000081845
dde_e4ee0e24bc70d9ad	sameAs	https://data.niaid.nih.gov/resources?id=msv000081847
dde_98292a24795b6106	sameAs	https://data.niaid.nih.gov/resources?id=msv000081889
dde_39941d3b475753c5	sameAs	https://data.niaid.nih.gov/resources?id=msv000081892
dde_f9c2938b231034d3	sameAs	https://data.niaid.nih.gov/resources?id=msv000081893
dde_20d9ebac123e9d4d	sameAs	https://data.niaid.nih.gov/resources?id=msv000081894
dde_0b8df4158f69c6ae	sameAs	https://data.niaid.nih.gov/resources?id=msv000082344
dde_31b1d76de17d4259	sameAs	https://data.niaid.nih.gov/resources?id=msv000082347
dde_f817df91b071193f	sameAs	https://data.niaid.nih.gov/resources?id=msv000082349
dde_583108d773f7e175	sameAs	https://data.niaid.nih.gov/resources?id=msv000082603
msv000079164	sameAs	https://data.niaid.nih.gov/resources?id=dde_36c3334b2f1ffe6b
msv000079327	sameAs	https://data.niaid.nih.gov/resources?id=dde_5eb8c23b4a08d080
msv000080027	sameAs	https://data.niaid.nih.gov/resources?id=dde_6d848ffbbf4f80f3
msv000080028	sameAs	https://data.niaid.nih.gov/resources?id=dde_0af67d606087b453
msv000080896	sameAs	https://data.niaid.nih.gov/resources?id=dde_fbd74e6037ceef22
msv000080902	sameAs	https://data.niaid.nih.gov/resources?id=dde_49885a65bb86fddd
msv000081044	sameAs	https://data.niaid.nih.gov/resources?id=dde_ddcbfdc4165e86c7
msv000081047	sameAs	https://data.niaid.nih.gov/resources?id=dde_0cc41549fff2bbc1
msv000081558	sameAs	https://data.niaid.nih.gov/resources?id=dde_0dbac63bb332af4b
msv000081786	sameAs	https://data.niaid.nih.gov/resources?id=dde_449fccffc12d8cd5
msv000081842	sameAs	https://data.niaid.nih.gov/resources?id=dde_19dd2155416830e8
msv000081843	sameAs	https://data.niaid.nih.gov/resources?id=dde_c96174803ccf2974
msv000081844	sameAs	https://data.niaid.nih.gov/resources?id=dde_15f78f44f6c7fe7c
msv000081845	sameAs	https://data.niaid.nih.gov/resources?id=dde_bbc88c502686751a
msv000081847	sameAs	https://data.niaid.nih.gov/resources?id=dde_e4ee0e24bc70d9ad
msv000081889	sameAs	https://data.niaid.nih.gov/resources?id=dde_98292a24795b6106
msv000081892	sameAs	https://data.niaid.nih.gov/resources?id=dde_39941d3b475753c5
msv000081893	sameAs	https://data.niaid.nih.gov/resources?id=dde_f9c2938b231034d3
msv000081894	sameAs	https://data.niaid.nih.gov/resources?id=dde_20d9ebac123e9d4d
msv000082344	sameAs	https://data.niaid.nih.gov/resources?id=dde_0b8df4158f69c6ae
msv000082347	sameAs	https://data.niaid.nih.gov/resources?id=dde_31b1d76de17d4259
msv000082349	sameAs	https://data.niaid.nih.gov/resources?id=dde_f817df91b071193f
msv000082603	sameAs	https://data.niaid.nih.gov/resources?id=dde_583108d773f7e175
