	_id	sameAs
77	dde_15699f9bef74789e	https://data.niaid.nih.gov/resources?id=gse71732
78	dde_1b09b60b41645288	https://data.niaid.nih.gov/resources?id=gse164533
79	dde_1d0fe2227a211e88	https://data.niaid.nih.gov/resources?id=msv000080019
80	dde_1e978b150eb3e225	https://data.niaid.nih.gov/resources?id=msv000082346
81	dde_1f35876f6b3e9f90	https://data.niaid.nih.gov/resources?id=gse132185
82	dde_22067908eb3e1ed6	https://data.niaid.nih.gov/resources?id=gse106524
83	dde_24445f311288fc34	https://data.niaid.nih.gov/resources?id=gse82158
84	dde_2493710047b6c375	https://data.niaid.nih.gov/resources?id=msv000081849
85	dde_252e68f692ac4ad7	https://data.niaid.nih.gov/resources?id=gse65573
86	dde_28edde32f8370e63	https://data.niaid.nih.gov/resources?id=msv000080024
87	dde_331c8964621af01c	https://data.niaid.nih.gov/resources?id=msv000080610
88	dde_3323eac1993feb3d	https://data.niaid.nih.gov/resources?id=msv000081887
89	dde_3431aa0f55bced08	https://data.niaid.nih.gov/resources?id=gse86539
90	dde_396a472c758074ac	https://data.niaid.nih.gov/resources?id=prjna395577
91	dde_3df1ac806b4c53ec	https://data.niaid.nih.gov/resources?id=prjna495623
92	dde_4d9350ca40032db3	https://data.niaid.nih.gov/resources?id=prjeb19232
93	dde_4ff2ff99550cfaa6	https://data.niaid.nih.gov/resources?id=prjna545312
94	dde_521f968864b00a41	https://data.niaid.nih.gov/resources?id=prjna758764
95	dde_524ab0dcc8dfaff4	https://data.niaid.nih.gov/resources?id=gse76600
96	dde_52baf474c93a9c6e	https://data.niaid.nih.gov/resources?id=gse80698
97	dde_571856451fad8aad	https://data.niaid.nih.gov/resources?id=msv000081049
98	dde_5a22d9f2b997344e	https://data.niaid.nih.gov/resources?id=gse166806
99	dde_5a8901bc36fc84b8	https://data.niaid.nih.gov/resources?id=gse69027
100	dde_5c7187a9b7b22f62	https://data.niaid.nih.gov/resources?id=prjna354635
101	dde_5e05907318982f1d	https://data.niaid.nih.gov/resources?id=gse97672
102	dde_64bb54c9887d7e7d	https://data.niaid.nih.gov/resources?id=gse70217
103	dde_654a77233958c28c	https://data.niaid.nih.gov/resources?id=msv000080026
104	dde_695d021c2f1871a8	https://data.niaid.nih.gov/resources?id=gse80833
105	dde_6cbc404ca1290cb3	https://data.niaid.nih.gov/resources?id=prjna259179
106	dde_6dfb737e2c43c1d9	https://data.niaid.nih.gov/resources?id=msv000081048
107	dde_7b5697cba053e2a9	https://data.niaid.nih.gov/resources?id=gse80832
108	dde_7feb4282102e9f2d	https://data.niaid.nih.gov/resources?id=gse75222
109	dde_87ea6ceaf280c0d6	https://data.niaid.nih.gov/resources?id=prjna542628
110	dde_8e02092395d97cf1	https://data.niaid.nih.gov/resources?id=gse71733
111	dde_9256f738766a616a	https://data.niaid.nih.gov/resources?id=prjna303184
112	dde_9375897e45d49e25	https://data.niaid.nih.gov/resources?id=msv000081560
113	dde_941bdec6e3f3a712	https://data.niaid.nih.gov/resources?id=gse196122
114	dde_94ce011db68d8ca9	https://data.niaid.nih.gov/resources?id=msv000080018
115	dde_9739d4541180077c	https://data.niaid.nih.gov/resources?id=gse69942
116	dde_a2d6edf79900b7f1	https://data.niaid.nih.gov/resources?id=gse79459
117	dde_a47251364ec0188c	https://data.niaid.nih.gov/resources?id=gse159593
118	dde_a7f0b97db56b4346	https://data.niaid.nih.gov/resources?id=gse183892
119	dde_a9b8f7f8f5cf3163	https://data.niaid.nih.gov/resources?id=gse86530
120	dde_ad5890da49e3fc3c	https://data.niaid.nih.gov/resources?id=msv000079470
121	dde_b25ade481e6ca029	https://data.niaid.nih.gov/resources?id=gse103477
122	dde_b49ae2aa68b73e34	https://data.niaid.nih.gov/resources?id=prjna516701
123	dde_bc33aef299ea2332	https://data.niaid.nih.gov/resources?id=prjna381939
124	dde_bdc9fc7ef8d55279	https://data.niaid.nih.gov/resources?id=gse80059
125	dde_c0c27050e81c773d	https://data.niaid.nih.gov/resources?id=gse77192
126	dde_c2e17416eb571169	https://data.niaid.nih.gov/resources?id=gse80697
127	dde_c7e9a7f1f22b4ec2	https://data.niaid.nih.gov/resources?id=gse79218
128	dde_c9bf2d83c23e00db	https://data.niaid.nih.gov/resources?id=gse86533
129	dde_ca328d296aff9999	https://data.niaid.nih.gov/resources?id=msv000082345
